,Missing Count,Missing Percentage
IP_ControlAbuseKidnap,19117,90.19580089643785
isSexualExploit,18420,86.90728945506015
IP_ageBroad,17993,84.89266336400094
IP_TransactionProcess,13851,65.35031847133757
IP_Exploiter,11737,55.37626798773295
IP_RecruiterBroker,9330,44.01981599433829
isForcedLabour,8947,42.21278603444208
IP_citizen_UNRegion,6946,32.77188016041519
IP_Relation,6623,31.247935833923098
IP_PayMoney,6040,28.497287096013213
IP_Gender,5408,25.515451757489977
UN_COE_Region,3999,18.86765746638358
yearRegister,3655,17.244633168200046
gender,3611,17.037037037037038
UN_COO_Region,3610,17.03231894314697
majorityStatus,3604,17.00401037980656
